"temp","species","parameter","percent_change_R0"
17.1,"Ae. aegypti","a",10
17.2,"Ae. aegypti","a",10
17.3,"Ae. aegypti","a",10
17.4,"Ae. aegypti","a",10
17.5,"Ae. aegypti","a",10
17.6,"Ae. aegypti","a",10
17.7,"Ae. aegypti","a",10
17.8,"Ae. aegypti","a",9.99999999999999
17.9,"Ae. aegypti","a",10
18,"Ae. aegypti","a",10
18.1,"Ae. aegypti","a",9.99999999999999
18.2,"Ae. aegypti","a",10
18.3,"Ae. aegypti","a",9.99999999999999
18.4,"Ae. aegypti","a",10
18.5,"Ae. aegypti","a",10
18.6,"Ae. aegypti","a",10
18.7,"Ae. aegypti","a",10
18.8,"Ae. aegypti","a",9.99999999999999
18.9,"Ae. aegypti","a",10
19,"Ae. aegypti","a",10
19.1,"Ae. aegypti","a",10
19.2,"Ae. aegypti","a",10
19.3,"Ae. aegypti","a",10
19.4,"Ae. aegypti","a",9.99999999999999
19.5,"Ae. aegypti","a",10
19.6,"Ae. aegypti","a",9.99999999999999
19.7,"Ae. aegypti","a",10
19.8,"Ae. aegypti","a",10
19.9,"Ae. aegypti","a",9.99999999999999
20,"Ae. aegypti","a",10
20.1,"Ae. aegypti","a",10
20.2,"Ae. aegypti","a",10
20.3,"Ae. aegypti","a",9.99999999999999
20.4,"Ae. aegypti","a",10
20.5,"Ae. aegypti","a",10
20.6,"Ae. aegypti","a",10
20.7,"Ae. aegypti","a",10
20.8,"Ae. aegypti","a",10
20.9,"Ae. aegypti","a",10
21,"Ae. aegypti","a",10
21.1,"Ae. aegypti","a",10
21.2,"Ae. aegypti","a",10
21.3,"Ae. aegypti","a",10
21.4,"Ae. aegypti","a",10
21.5,"Ae. aegypti","a",10
21.6,"Ae. aegypti","a",10
21.7,"Ae. aegypti","a",10
21.8,"Ae. aegypti","a",10
21.9,"Ae. aegypti","a",9.99999999999999
22,"Ae. aegypti","a",9.99999999999998
22.1,"Ae. aegypti","a",10
22.2,"Ae. aegypti","a",10
